1 Abajour de mesa modelo antigo pintado;20
1 Antena Roteador Amplimax Fit 4g Elsyseprl18 Internet Somente Dados;520
1 Barquinho a velas em minatura;30
1 Carrinho de controle remoto infantil tyco RC (no estado); 30
1 Cavaquinho Studio com Cordas Boas; 150
1 Coruja tocando violão minatura (quebrado na base); 10
1 Kit Cacarecos Diversos Leva Tudo com Desconto; 250
1 android micro OTG;20
1 armband para correr com celular; 20
1 capa de chuva lona forte; 30
1 carregador de bateria externo; 10
1 carregador de pilhas AAA e AA e bateria 9v  25
1 detector de presença soquete de luz padrão acende quando alguém aproxima;  50
1 furadeira elétrica 110v; 90
1 gaveta de 2 andares para escritório; 80
1 kimono jiu jitsu azul keiko novo a3; 240
1 lanterna bike com bateria muito forte brinde refleto; 120
1 lâmpada farol para moto h40 tornado;34
1 maleta executiva notebook até 17" couro sintético  com alça; 150
1 maquinha de barbear a pilha com pente; 20
1 mini balança de precisão; 30
1 mochila usada; 20
1 par de chinelo de palha 44; 50
1 par de luva motociclista tekk para frio, comprado em curitiba; 250
1 par de polaina para manete de moto para frio; 30
1 par de raquetes frescobol + bolinha; 120
1 porta chaves indian motorcicle;10
1 porta retrato a4 estilo filme película de vidro;15
1 powerbank com lantera;40
1 regua USB com 7 saídas e botão de ligar independente; 20
1 ringlight anel de luz com suporte para 2 celulares; 80
1 roteador tp link archer C50;  260
1 som para carro pioneer completo 250
1 suporte transbike para trasnportar até 3 bicicletas; 200
1 timmer temporizador de tomada; 110
1.2kg de glicerina bi-destilada para receitas; 50
10 quadros decoração MDF; 80
100 sacos ifood marmita lanche entrega delivery;50
15 pranchinhas de surf de madeira com números para controle (mesa restaurante); 150
2 baterias energizer 2023 (não usadas); 15
2 pilhas energizer a23 (não usadas);15
2 prateleiras suportes para capsulas de café; 60
2 quadros café decoração moldura;24
2 suportes lombas, cadeiras, banco de carro;30
25 potinhos de vidro vedado e 6 potinhos;60
25 potinhos de vidro vedados;50
3 pacotes com 25 potinhos plástico 140ml;30
4 canecas de cerâmica colorida de vó; 20
5 Camisetas Masculinas Usadas e brindes
6 potinhos de vidro;20
7 Lâmpadas Grow Led novas  e 1 timmer temporizador;1000
7 display a4 para fixar avisos na parede; 30
Conjunto de talheres com suporte tampado; 25
Itens culinária ketchup paliteiro saco confeiteiro;10
